comp-1,comp-2
6.2563605,-8.292574
6.373463,-8.871473
4.22335,-12.220344
3.2253003,-18.340246
-0.16383295,-10.134323
3.3900723,-17.545023
-0.81176305,-8.7403965
-0.4494695,-7.2048903
2.4487991,-17.828968
3.576238,-17.043663
7.20198,-16.32218
-27.686615,0.8423814
-0.24101013,-7.24969
-7.3135486,-13.837855
-7.0380483,-13.379358
-8.120685,-15.059847
3.0008442,-7.76124
-0.9299485,-11.486117
1.6207266,-16.81723
1.1040033,-17.400196
0.9301312,-17.3238
-29.48424,-1.3132031
-26.605888,0.5791094
-22.593025,5.53855
-21.926615,14.422616
-22.850748,14.036415
-29.577675,0.56332916
-22.757357,3.3276153
-12.491618,0.14554955
-29.50198,1.4457105
-13.29477,0.8134024
-29.688715,0.4964608
9.755194,-14.818814
13.090808,-0.04937713
0.84614897,-7.1890817
3.235285,-7.4731655
5.6031895,-16.251917
4.313193,-11.666992
23.489687,-18.057783
-28.46266,-4.0116653
10.989205,-16.39421
5.43974,-14.980534
5.448194,-18.01091
5.665022,-17.921997
-21.147886,12.884276
-21.792862,13.763084
-19.265722,11.397467
-19.93867,12.450366
-20.377163,13.666018
-20.868233,13.223281
-17.54406,12.402005
-18.710966,13.46041
-19.51958,13.1470585
-16.966782,12.817161
-21.197657,10.828549
-23.88532,1.4642216
-27.455128,-1.1652
-23.7415,-9.070184
-24.855022,-7.557554
-2.94706,-8.281992
-2.8304412,-8.391603
-17.485481,9.911896
1.6367275,-10.513248
-3.5198677,10.471428
-17.948805,9.804661
-17.077723,15.679359
-18.227867,9.833594
-10.634061,4.6554594
-10.224548,4.859445
-10.7402315,4.9750366
-13.714065,1.151822
-13.162192,0.8584936
-13.968233,2.438092
-21.1919,-12.252557
-19.66488,9.000727
-12.457693,-4.3202877
8.213722,4.826951
7.1512256,4.450351
-13.145007,-6.0985613
-2.2664347,-14.0934105
-11.634209,-3.5416071
-0.22590765,6.6622787
-12.583102,-5.795975
-3.5413594,-18.719704
-0.7489043,7.799605
-4.786508,-18.512102
-5.219817,8.264475
-13.764565,-3.5588295
0.44918075,3.2846699
-16.269827,10.093806
-2.4461918,9.529435
-4.7891645,8.603288
-12.536413,10.036791
-12.269482,2.5141191
-6.5063295,7.2709303
-13.765839,-2.8779294
-15.020946,-2.3673754
-21.21975,1.402645
-14.708021,-3.3469083
-11.04248,-9.891373
-20.964813,-0.7161973
-16.628208,-3.052341
-7.3061824,-6.7184134
-6.621589,-7.421604
-7.544197,-6.161104
-9.747599,-0.12101022
-6.162131,-6.7406273
-13.47785,-4.882699
-16.898794,19.663681
-13.041292,25.904697
