OCC_CODE,Occupation title (click on the occupation title to view an occupational profile),Level,Employment,Employment RSE,Percent of total employment,Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
53-3032,Heavy and Tractor-Trailer Truck Drivers,detail,"1,150",8.40%,3.14%,$30.26,$29.54,"$61,430",2.30%
53-3033,Light Truck Drivers,detail,50,48.20%,0.14%,$18.56,$20.24,"$42,110",4.80%
53-7000,Material Moving Workers,minor,"1,310",15.50%,3.57%,$29.22,$29.51,"$61,390",1.90%
53-7011,Conveyor Operators and Tenders,detail,340,12.10%,0.92%,-8,-8,-8,-8
53-7041,Hoist and Winch Operators,detail,50,10.50%,0.15%,$28.23,$29.14,"$60,620",0.30%
53-7051,Industrial Truck and Tractor Operators,detail,-8,-8,-8,$36.37,$35.34,"$73,500",1.80%
53-7060,Laborers and Material Movers,broad,470,4.40%,1.29%,$22.89,$25.36,"$52,750",1.00%
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detail,290,6.70%,0.78%,$22.89,$24.63,"$51,240",1.70%
53-7065,Stockers and Order Fillers,detail,130,10.00%,0.34%,$24.19,$26.31,"$54,710",1.90%
53-7070,Pumping Station Operators,broad,110,7.00%,0.30%,$36.83,$34.58,"$71,920",2.10%
53-7072,"Pump Operators, Except Wellhead Pumpers",detail,100,6.70%,0.29%,$37.40,$35.15,"$73,120",2.10%
53-7121,"Tank Car, Truck, and Ship Loaders",detail,120,5.50%,0.33%,$30.23,$29.88,"$62,150",0.60%
